其他化学制品,36.9
其他机械设备,256.38
其他机械设备,51.86
其他机械设备,61.99
其他食品,112.86
其他食品,121.56
其他食品,122.55
其他食品,59.11
卫生纸,14.8
卫生纸,15.8
卫生纸,18.88
塑料制品,120
宠物用品,1798
客运,18.98
客运,54.74
客运,558.77
家具-折叠床,208.28
日用杂品,109.52
日用杂品,144.56
日用杂品,148.58
日用杂品,20.04
日用杂品,213.87
日用杂品,23.87
日用杂品,32.16
日用杂品,41.1
日用杂品,46.89
日用杂品,68.25
日用杂品,73.26
日用杂品,78.47
橡胶制品,54
电信服务,28.61
电信服务,45.29
电信服务,47.1
电信服务,49.1
电信服务,49.61
电信服务,49
电信服务,50.13
电信服务,52.56
电信服务,53.18
电信服务,54.19
电信服务,57.64
电信服务,57.73
电脑,8100
计算及配套产品-鼠标垫,67.98
软饮料,62.54
软饮料,62.98
软饮料,65.15
软饮料,74.26
金属制品-货架,29
铁质家具,39.8
预售卡,1600
预售卡,200
餐饮,1229.4
餐饮,1361.4
餐饮,158
餐饮,237
餐饮,95.4
